company,country,sector,ticker,company_stage,esg_score_today,esg_score_5yr_ago,esg_cagr_5yr,esg_e_today,esg_s_today,esg_g_today,esg_e_cagr,esg_s_cagr,esg_g_cagr,revenue_usd_b,rev_growth_yoy,pe_ratio,pb_ratio,emissions_intensity,emissions_intensity_trend,renewable_pct,renewable_pct_trend,green_capex_pct,green_capex_pct_trend,env_fines_12mo,hires_6mo,hires_prev_6mo,hires_growth,hires_per_m_rev,employee_sentiment_trend,diversity_women_pct,diversity_women_pct_trend,labour_controversy_12mo,board_independence_pct,board_independence_pct_trend,exec_turnover_12mo,insider_sell_ratio,litigation_actions_12mo,ai_job_pct,ai_patent_count,ai_earnings_mentions,sentiment_score,sentiment_trend,controversy_flags_12mo,controversy_flags_e,controversy_flags_s,controversy_flags_g,controversy_intensity_e,controversy_intensity_s,controversy_intensity_g,stated_commitments,claim_articles_12mo,claim_share,say_do_gap,say_do_confidence,claims_source,data_source
Kasikornbank,Thailand,Financial Services,KBANK.BK,Mature/Established,70.0,63.0,0.0213,68,70,72,0.0253,0.0213,0.0176,7.2,0.05,7.9,0.7,23.0,-0.0355,44,1.39,17,1.01,0,2100,1950,0.0769,0.292,0.192,56,0.55,0,63.2,0.56,1.9,0.476,0,21,6,9,0.6,Increasing,0,0,0,0,0.0,0.0,0.0,11,,,0.382,unverified,hand-coded,illustrative (calibrated)
Maybank,Malaysia,Financial Services,1155.KL,Mature/Established,72.0,65.0,0.0207,69,72,75,0.025,0.0207,0.0168,6.5,0.06,12.4,1.3,22.8,-0.0349,39,1.37,16,1.0,0,1900,1700,0.1176,0.292,0.186,53,0.54,0,64.2,0.54,2.0,0.479,0,17,4,6,0.58,Increasing,0,0,0,0,0.0,0.0,0.0,9,,,0.217,unverified,hand-coded,illustrative (calibrated)
Siam Cement (SCG),Thailand,Basic Materials,SCC.BK,Mature/Established,66.0,60.0,0.0192,58,68,72,0.0301,0.0154,0.0145,15.5,0.03,13.1,0.8,1122.0,-0.0422,37,1.66,31,1.21,1,2600,2400,0.0833,0.168,0.139,28,0.4,0,63.2,0.46,2.0,0.489,0,11,9,5,0.58,Increasing,1,1,0,0,0.2,0.0,0.0,13,,,0.45,unverified,hand-coded,illustrative (calibrated)
Astra International,Indonesia,Consumer Cyclical,ASII,Mature/Established,63.0,57.0,0.0202,55,64,70,0.0276,0.0199,0.0149,20.0,0.04,6.2,1.1,199.5,-0.0386,24,1.52,18,1.1,1,5000,4400,0.1364,0.25,0.179,31,0.52,0,62.5,0.48,2.0,0.487,0,15,6,5,0.6,Increasing,1,1,0,0,0.2,0.0,0.0,7,,,0.041,unverified,hand-coded,illustrative (calibrated)
Singtel,Singapore,Communication Services,Z74,Mature/Established,73.0,74.0,-0.0027,76,70,73,0.0,-0.0056,-0.0027,11.5,-0.01,15.9,1.6,58.8,-0.0,48,0.0,14,0.0,0,1800,1900,-0.0526,0.157,-0.051,42,-0.15,0,63.5,-0.09,2.5,0.561,1,14,8,6,0.52,Stable,1,0,0,1,0.0,0.0,0.2,11,,,0.467,unverified,hand-coded,illustrative (calibrated)
Tenaga Nasional,Malaysia,Utilities,5347.KL,Mature/Established,68.0,69.0,-0.0029,52,72,80,-0.0075,0.0,-0.0025,12.0,0.02,16.8,1.2,2052.0,0.0105,21,-0.41,29,-0.3,2,2200,2400,-0.0833,0.183,0.0,26,0.0,0,66.0,-0.08,2.5,0.56,0,7,3,3,0.48,Decreasing,2,2,0,0,0.4,0.0,0.0,10,,,0.408,unverified,hand-coded,illustrative (calibrated)
Airports of Thailand,Thailand,Industrials,AOT.BK,Mature/Established,64.0,66.0,-0.0061,60,65,67,-0.0097,-0.003,-0.0059,3.2,0.08,31.5,4.6,320.0,0.0136,18,-0.53,12,-0.39,0,1200,1300,-0.0769,0.375,-0.027,38,-0.08,1,61.5,-0.19,2.6,0.575,0,8,2,3,0.47,Decreasing,1,0,1,0,0.0,0.2,0.0,5,,,0.0,unverified,hand-coded,illustrative (calibrated)
Telkom Indonesia,Indonesia,Communication Services,TLK,Mature/Established,58.4,60.0,-0.0054,62,56,57.2,0.0,-0.007,-0.0095,2.18,-0.02,12.1,2.2,68.6,-0.0,27,0.0,10,0.0,0,260,290,-0.1034,0.119,-0.063,35,-0.18,2,58.0,-0.3,2.6,0.59,3,12,4,5,0.5,Decreasing,5,0,2,3,0.0,0.4,0.6,6,,,0.05,unverified,hand-coded,real-anchor (calibrated)
PTTEP,Thailand,Energy,PTTEP.BK,Mature/Established,55.0,63.0,-0.0268,40,60,65,-0.0436,-0.0189,-0.0229,8.87,-0.06,8.3,0.9,1680.0,0.0611,9,-2.4,7,-1.75,2,700,830,-0.1566,0.079,-0.17,22,-0.49,0,60.8,-0.73,3.0,0.646,1,8,2,4,0.44,Decreasing,3,2,0,1,0.4,0.0,0.2,12,,,0.65,unverified,hand-coded,real-anchor (calibrated)
Genting Singapore,Singapore,Consumer Cyclical,G13,Mature/Established,48.0,52.0,-0.0159,50,45,49,-0.0116,-0.0169,-0.0192,1.6,-0.03,13.7,1.0,209.0,0.0162,16,-0.64,6,-0.46,0,900,1100,-0.1818,0.562,-0.152,45,-0.44,1,55.1,-0.62,2.9,0.631,1,6,1,2,0.42,Decreasing,2,0,1,1,0.0,0.2,0.2,4,,,0.0,unverified,hand-coded,illustrative (calibrated)
Top Glove,Malaysia,Healthcare,7113.KL,Mature/Established,45.0,50.0,-0.0209,48,36,51,-0.0159,-0.0393,-0.0114,1.0,-0.18,,0.8,123.2,0.0222,14,-0.87,5,-0.64,0,800,1400,-0.4286,0.8,-0.354,34,-1.02,3,55.8,-0.36,2.7,0.598,1,5,3,1,0.38,Decreasing,4,0,3,1,0.0,0.6,0.2,8,,,0.27,unverified,hand-coded,illustrative (calibrated)
Golden Agri-Res.,Singapore,Consumer Defensive,E5H,Mature/Established,42.0,45.0,-0.0137,32,44,50,-0.0233,-0.0131,-0.0078,9.5,-0.04,7.1,0.5,614.4,0.0326,23,-1.28,8,-0.93,2,1500,1700,-0.1176,0.158,-0.118,29,-0.34,1,55.5,-0.25,2.6,0.583,0,4,1,1,0.4,Decreasing,3,2,1,0,0.4,0.2,0.0,11,,,0.544,unverified,hand-coded,illustrative (calibrated)
First Resources,Singapore,Consumer Defensive,EB5,Mature/Established,47.0,51.0,-0.0162,38,50,53,-0.0244,-0.0116,-0.0144,1.1,-0.02,8.8,1.1,585.6,0.0342,20,-1.34,6,-0.98,1,650,780,-0.1667,0.591,-0.104,27,-0.3,1,56.5,-0.46,2.8,0.611,0,4,0,1,0.43,Decreasing,2,1,1,0,0.2,0.2,0.0,7,,,0.215,unverified,hand-coded,illustrative (calibrated)
Bumi Resources,Indonesia,Energy,BUMI,Mature/Established,39.0,46.0,-0.0325,28,40,49,-0.0436,-0.0317,-0.0264,6.4,-0.09,5.4,0.6,1848.0,0.0611,6,-2.4,3,-1.75,2,900,1150,-0.2174,0.141,-0.286,19,-0.83,0,55.1,-0.84,3.1,0.661,2,3,0,0,0.36,Decreasing,4,2,0,2,0.4,0.0,0.4,5,,,0.067,unverified,hand-coded,illustrative (calibrated)
Gulf Energy Development,Thailand,Utilities,GULF.BK,High-Growth/Scaling,64.0,56.0,0.0271,66,62,64,0.041,0.0206,0.0199,3.4,0.22,22.4,2.6,1786.0,-0.0573,52,2.25,44,1.64,0,1900,1500,0.2667,0.559,0.185,29,0.53,0,60.4,0.64,1.9,0.466,0,9,4,4,0.63,Increasing,0,0,0,0,0.0,0.0,0.0,9,,,0.163,unverified,hand-coded,illustrative (calibrated)
B.Grimm Power,Thailand,Utilities,BGRIM.BK,High-Growth/Scaling,60.0,53.0,0.0251,63,58,59,0.0391,0.0182,0.0179,1.6,0.18,19.8,1.9,1843.0,-0.0548,47,2.15,39,1.56,0,900,740,0.2162,0.562,0.164,31,0.47,0,58.6,0.57,1.9,0.475,0,7,2,3,0.6,Increasing,0,0,0,0,0.0,0.0,0.0,8,,,0.086,unverified,hand-coded,illustrative (calibrated)
Pertamina Geothermal,Indonesia,Energy,PGEO,High-Growth/Scaling,60.0,53.0,0.0251,71,55,54,0.0342,0.0192,0.0196,0.62,0.16,14.2,1.5,1246.0,-0.0479,88,1.88,52,1.37,0,600,500,0.2,0.968,0.173,24,0.5,0,56.9,0.63,1.9,0.468,0,6,3,3,0.61,Increasing,0,0,0,0,0.0,0.0,0.0,10,,,0.269,unverified,hand-coded,illustrative (calibrated)
PTT Public,Thailand,Energy,PTT.BK,Mature/Established,56.0,59.0,-0.0104,44,60,64,-0.0173,-0.0065,-0.0091,88.0,0.01,9.1,0.9,1624.0,0.0242,11,-0.95,9,-0.69,2,2400,2500,-0.04,0.027,-0.059,25,-0.17,0,60.4,-0.29,2.6,0.588,1,9,5,5,0.46,Decreasing,3,2,0,1,0.4,0.0,0.2,13,,,0.608,unverified,hand-coded,illustrative (calibrated)
Petronas Chemicals,Malaysia,Basic Materials,5183.KL,Mature/Established,60.0,63.0,-0.0097,50,62,68,-0.0153,-0.0063,-0.0086,4.3,-0.02,13.6,1.2,1210.0,0.0214,15,-0.84,12,-0.61,1,900,980,-0.0816,0.209,-0.057,27,-0.16,0,61.8,-0.28,2.6,0.586,0,8,4,3,0.49,Decreasing,1,1,0,0,0.2,0.0,0.0,12,,,0.601,unverified,hand-coded,illustrative (calibrated)
Semen Indonesia,Indonesia,Basic Materials,SMGR,Mature/Established,56.0,58.0,-0.007,47,58,63,-0.0123,-0.0068,-0.0031,2.6,-0.01,11.4,0.8,1243.0,0.0172,13,-0.68,10,-0.49,2,1100,1200,-0.0833,0.423,-0.061,23,-0.18,1,60.0,-0.1,2.5,0.563,0,6,2,2,0.45,Decreasing,3,2,1,0,0.4,0.2,0.0,12,,,0.591,unverified,hand-coded,illustrative (calibrated)
Sembcorp Industries,Singapore,Utilities,U96,Mature/Established,71.0,62.3,0.0265,74,68,71,0.0499,0.0154,0.0147,5.1,0.09,10.8,2.1,1634.0,-0.0699,61,2.75,47,2.0,0,1500,1250,0.2,0.294,0.139,38,0.4,0,62.8,0.47,2.0,0.488,0,16,11,9,0.69,Increasing,0,0,0,0,0.0,0.0,0.0,14,,,0.384,unverified,hand-coded,illustrative (calibrated)
Techcombank,Vietnam,Financial Services,TCB,High-Growth/Scaling,58.0,50.0,0.0301,52,60,62,0.034,0.029,0.028,1.9,0.19,8.6,1.3,27.0,-0.0476,26,1.87,13,1.36,0,1800,1450,0.2414,0.947,0.261,48,0.75,0,59.7,0.9,1.7,0.432,0,26,6,8,0.62,Increasing,0,0,0,0,0.0,0.0,0.0,6,,,0.0,unverified,hand-coded,illustrative (calibrated)
Gemadept,Vietnam,Industrials,GMD,High-Growth/Scaling,56.7,49.0,0.0296,55,58,57,0.0319,0.0261,0.0307,0.18,0.2,15.3,2.2,336.0,-0.0447,22,1.76,17,1.28,0,700,570,0.2281,3.889,0.235,30,0.68,0,58.0,0.98,1.6,0.421,0,9,2,2,0.6,Increasing,0,0,0,0,0.0,0.0,0.0,5,,,0.0,unverified,hand-coded,illustrative (calibrated)
Siloam Hospitals,Indonesia,Healthcare,SILO,High-Growth/Scaling,61.0,53.7,0.0258,58,66,59,0.0221,0.0298,0.0256,0.75,0.17,24.1,3.1,112.2,-0.0309,19,1.21,14,0.88,0,1900,1550,0.2258,2.533,0.268,62,0.77,0,58.6,0.82,1.7,0.443,0,10,2,3,0.64,Increasing,0,0,0,0,0.0,0.0,0.0,6,,,0.0,unverified,hand-coded,illustrative (calibrated)
IHH Healthcare,Malaysia,Healthcare,5225.KL,Mature/Established,67.0,62.7,0.0134,60,71,70,0.0139,0.0147,0.0118,5.0,0.08,26.5,2.0,110.0,-0.0195,28,0.76,18,0.56,0,2600,2350,0.1064,0.52,0.132,68,0.38,0,62.5,0.38,2.1,0.5,0,12,5,4,0.63,Increasing,0,0,0,0,0.0,0.0,0.0,9,,,0.254,unverified,hand-coded,illustrative (calibrated)
Bangkok Dusit Medical,Thailand,Healthcare,BDMS.BK,Mature/Established,63.7,60.3,0.011,57,68,66,0.0109,0.0122,0.0093,2.9,0.06,28.3,3.4,113.3,-0.0152,24,0.6,15,0.43,0,2100,1950,0.0769,0.724,0.11,66,0.32,1,61.1,0.3,2.2,0.511,0,9,3,3,0.61,Increasing,1,0,1,0,0.0,0.2,0.0,8,,,0.18,unverified,hand-coded,illustrative (calibrated)
Keppel Ltd,Singapore,Industrials,BN4,Mature/Established,66.0,59.7,0.0203,66,64,68,0.0334,0.013,0.0154,5.2,0.03,12.9,1.1,300.8,-0.0468,44,1.84,33,1.34,0,1700,1600,0.0625,0.327,0.117,35,0.34,0,61.8,0.49,2.0,0.485,0,17,9,7,0.62,Increasing,0,0,0,0,0.0,0.0,0.0,11,,,0.355,unverified,hand-coded,illustrative (calibrated)
Sime Darby,Malaysia,Industrials,4197.KL,Mature/Established,59.0,57.3,0.0059,54,60,63,0.0076,0.0068,0.0032,14.2,0.02,10.2,0.9,339.2,-0.0106,18,0.42,11,0.3,1,2300,2250,0.0222,0.162,0.061,30,0.18,0,60.0,0.1,2.3,0.537,0,7,3,2,0.53,Stable,1,1,0,0,0.2,0.0,0.0,7,,,0.108,unverified,hand-coded,illustrative (calibrated)
City Developments,Singapore,Real Estate,C09,Mature/Established,66.0,66.0,0.0,70,63,65,0.0058,0.0,-0.006,2.7,-0.02,14.7,0.6,108.0,-0.0081,43,0.32,21,0.23,0,700,760,-0.0789,0.259,0.0,41,0.0,0,60.8,-0.19,2.6,0.575,1,10,3,3,0.5,Decreasing,1,0,0,1,0.0,0.0,0.2,10,,,0.364,unverified,hand-coded,illustrative (calibrated)
Ayala Land,Philippines,Real Estate,ALI,Mature/Established,64.0,59.0,0.0164,62,64,66,0.0206,0.0164,0.0126,2.9,0.07,16.1,1.4,117.6,-0.0288,35,1.13,24,0.82,0,1600,1450,0.1034,0.552,0.148,45,0.43,0,61.1,0.4,2.1,0.497,0,11,4,4,0.6,Increasing,0,0,0,0,0.0,0.0,0.0,8,,,0.148,unverified,hand-coded,illustrative (calibrated)
Central Pattana,Thailand,Real Estate,CPN.BK,Mature/Established,65.0,59.7,0.0172,65,63,67,0.0231,0.0132,0.0156,1.5,0.09,17.8,2.3,114.0,-0.0323,39,1.27,28,0.92,0,1300,1150,0.1304,0.867,0.119,43,0.34,0,61.5,0.5,2.0,0.484,0,10,3,3,0.62,Increasing,0,0,0,0,0.0,0.0,0.0,9,,,0.223,unverified,hand-coded,illustrative (calibrated)
Vinamilk,Vietnam,Consumer Defensive,VNM,Mature/Established,62.7,57.7,0.0168,58,66,64,0.0221,0.0159,0.013,2.5,0.03,15.6,3.8,489.6,-0.0309,31,1.21,19,0.88,0,1400,1330,0.0526,0.56,0.143,58,0.41,0,60.4,0.42,2.1,0.495,0,8,4,3,0.59,Increasing,0,0,0,0,0.0,0.0,0.0,9,,,0.226,unverified,hand-coded,illustrative (calibrated)
Indofood,Indonesia,Consumer Defensive,INDF,Mature/Established,52.3,53.3,-0.0038,44,55,58,-0.0045,-0.0036,-0.0034,7.6,0.04,7.9,1.0,556.8,0.0063,17,-0.25,9,-0.18,2,2900,2850,0.0175,0.382,-0.032,42,-0.09,1,58.3,-0.11,2.5,0.564,0,6,2,2,0.48,Decreasing,3,2,1,0,0.4,0.2,0.0,11,,,0.482,unverified,hand-coded,illustrative (calibrated)
Advanced Info Service,Thailand,Communication Services,ADVANC.BK,Mature/Established,68.0,64.7,0.01,70,66,68,0.0118,0.0093,0.0091,5.8,0.05,21.2,7.1,63.0,-0.0166,46,0.65,26,0.47,0,1500,1400,0.0714,0.259,0.084,44,0.24,0,61.8,0.29,2.2,0.512,0,19,9,7,0.63,Increasing,0,0,0,0,0.0,0.0,0.0,10,,,0.344,unverified,hand-coded,illustrative (calibrated)
Bukalapak,Indonesia,Technology,BUKA,High-Growth/Scaling,41.3,35.7,0.0296,56,38,30,0.0229,0.0286,0.0456,0.28,0.14,,0.7,41.6,-0.0321,20,1.26,7,0.92,0,1100,900,0.2222,3.929,0.258,35,0.74,2,48.5,1.46,1.2,0.358,2,29,3,6,0.47,Decreasing,4,0,2,2,0.0,0.4,0.4,7,,,0.057,unverified,hand-coded,illustrative (calibrated)
MR DIY,Malaysia,Consumer Cyclical,5296.KL,High-Growth/Scaling,52.7,47.0,0.0232,48,52,58,0.0222,0.0248,0.0221,1.1,0.16,25.7,8.4,212.8,-0.0311,21,1.22,12,0.89,0,2400,2000,0.2,2.182,0.223,57,0.65,1,58.3,0.71,1.8,0.457,0,7,1,2,0.61,Increasing,1,0,1,0,0.0,0.2,0.0,5,,,0.0,unverified,hand-coded,illustrative (calibrated)
